Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Azerbaijan,AZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,98.90822245,98.59799957,100,98.84778595,98.97737885,99.11943817,99.5,99.46292114,99.66230011,99.87506866,99.94766235,99.9,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Bahamas, The",BHS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bahrain,BHR,99.94139862,99.96739197,99.98718262,99.99713898,99.99977112,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bangladesh,BGD,NA,14.29,9.90541935,12.71788025,17.8,18.33804512,21.14438629,22.4,26.74619293,29.54021454,32,35.03246689,37.7541275,40.47424698,40.6,44.23,50.52510246,46.5,54.26874542,57.07751465,55.26,59.6,65.54574585,61.5,62.4,74.00247192,75.92,88,86.9152832,92.2,96.2,98.99102783,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Barbados,BRB,99.98425293,99.99343872,99.99868774,100,100,100,100,100,100,100,100,99.99906158,100,99.96649933,99.92389679,99.86960602,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belarus,BLR,100,100,100,100,100,100,100,100,100,100,88.99837494,89.50689697,90.00686646,90.50530243,91.00920105,91.52557373,92.061203,92.61767578,93.1913681,93.77845001,94.37507629,94.97740936,95.58161926,96.18385315,96.78105927,97.37328339,98.0430069,98.74201202,99.34876251,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belize,BLZ,NA,67,72.22491455,73.12332916,74.02038574,74.91539764,75.80769348,76.69658661,77.58140564,78.46138,79,80.23301697,81.03787231,81.84118652,82.64996338,83.47122192,90.98853086,85.17308044,86.051651,86.94361115,89.91722437,91.68173599,90.92204285,91.13336182,91.47062683,91.8,93.26068878,94.15032959,91.72,92.72,96.80762482,97.6921463,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Benin,BEN,NA,NA,NA,NA,NA,NA,14.5,18.58962631,19.5782547,20.56204224,21.53433037,21.9,23.35894203,24.26543617,25.17739677,26.10182953,27.9,28.01004791,28.99180031,29.98694038,34.2,36.9,38.4,34.6536293,34.1,29.62,37.02627563,34.5,39.0094223,39.99809265,40.9859314,41.97363281,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bhutan,BTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.15,40.24427795,44.1191864,41.1,51.8713913,59.80811164,59.67326355,71.8,67.55329895,71.51531219,73.28291087,81.78115845,91.5,87.42046356,91.39260101,95.3597641,99.32277679,97.7,99.95767212,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bolivia,BOL,NA,NA,60.0279007,61.38402939,64.1,64.09152985,71,67.330431,71.2,70.929888,69.963045,69.258539,63.996855,72.3,75.86585236,68.288209,76.211281,80.156567,84.674991,86.765597,87.95241547,88.335943,90.387375,89.505686,90.038729,91.522822,91.8,91.8,92.8,95.08,97.22181702,98.55622864,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bosnia and Herzegovina,BIH,100,100,100,100,100,100,100,100,100,100,98.99918365,99.4,98.5,99.04157257,99.05728912,99.08548737,99.38727699,99.7,99.28674316,99.38564301,99.49408722,99.70578055,99.72427368,99.5,99.92260742,99.7,99.99671173,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Botswana,BWA,NA,10.1,9.398226738,11.64207649,13.88456631,16.12501717,18.36274719,20.59707832,22.82732964,25.0527401,26.51616287,24.8,27,33.07161713,35.25836182,37.45757675,39.67604828,41.9153595,44.5,43.36,52.0336113,53.24,55.96567535,57.97229767,60.0222435,62.13,64.20296478,67.4,68.25473785,70.09508514,71.82912445,73.72590637,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Brazil,BRA,87.475116,90.60654449,88.803833,89.999927,91.88372803,91.728598,92.867095,93.354139,94.193812,94.76296,94.43141174,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,98.6,99.328691,99.519494,99.575151,99.650247,99.710902,99.7,99.8,99.7,99.8,99.70271301,99.46212006,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,British Virgin Islands,VGB,94.60655975,94.82473755,95.0428009,95.26019287,95.47621918,95.69020081,95.901474,96.10933685,96.31312561,96.51207733,97.14576721,97.24842072,97.3425293,97.43509674,97.53312683,97.64363098,97.77339935,97.92399597,98.09181976,98.27303314,98.3,98.66026306,98.85860443,99.05497742,99.246315,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Brunei Darussalam,BRN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bulgaria,BGR,100,100,100,100,100,100,100,100,100,100,88.09195709,88.60476685,89.10902405,89.61174774,90.11994171,90.64060974,91.18052673,91.74128723,92.31926727,92.91064453,93.51155853,94.11818695,94.72668457,95.33320618,95.93470764,96.58468628,97.33782959,98.06486511,98.69963837,99.19500732,99.7,99.8,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burkina Faso,BFA,NA,NA,NA,6.1,6.125010014,6.625332832,7.122936249,7.617139816,8.107264519,6.9,9.101531029,9.513817787,9.917557716,11.4,10.72742558,11.14756775,11.58696365,12.04719925,12.52466011,12.63,13.1,14.77559948,15.06582069,15.38851357,19.2,16.15320015,16.56739616,17.01332092,14.4,17.6,18.46727943,18.95068741,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burundi,BDI,NA,NA,NA,NA,NA,NA,NA,NA,3.9,2.070949316,2.538277864,2.832107544,3.117390394,3.401133537,3.690343857,3.207317073,2.66,4.654745102,4.8,5.386138916,5.3,6.155723095,6.5,6.9,7,7.890114784,8.477998734,9.3,9.509292603,9.839400291,9.1,10.23382759,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cabo Verde,CPV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.56019211,60.26353073,58.6,63.65157318,65.35028839,67,68.79193115,70.54322052,72.31172943,74.09362793,81.1,82.26313782,83.24845886,84.26624298,85.32736206,86.42112732,87.5304184,88.61360931,90.19692993,91.4,93.74695587,95.52141571,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cambodia,KHM,NA,NA,NA,NA,NA,NA,NA,NA,18.67,8.820036888,16.6,9.52857399,13.109128,19.3,14.2,20.5,27.48578835,20.2,26.4,25.6,31.1,37.4,42.3,50.9,56.1,62.7206459,68.7621994,89.07,80.70082855,84,86.4,82.50171661,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cameroon,CMR,NA,29,32.69752502,33.84919357,34.99950409,36.14777374,37.29332352,38.4354744,40.7,40.70677567,41,46.2,44.03639221,45.09002686,47.1,47.2206955,49,48.2,50.55208206,51.69436264,52.84618759,53.7,55.1631279,56.32056046,56.8,58.62038803,59.76366425,60.90362167,62.2,63.17689514,64.31187439,65.44670868,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Canada,CAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cayman Islands,CYM,99.84692383,99.8788147,99.91024017,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Central African Republic,CAF,NA,NA,NA,NA,NA,3,3.334915638,3.830210209,4.321425438,4.807798386,6,5.706449986,6.132954121,6.557918549,6.988349915,7.431255341,7.805169325,8.376415253,7.48,9.39025116,9.8,10.44227791,10.97301579,11.50178242,12.03670597,12.71299076,13.40480328,14.070508,14.64395523,14.3,15.40571308,15.68027687,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Chad,TCD,NA,NA,NA,NA,NA,NA,NA,2.3,2.420387268,2.806213379,3.110457182,3.442217827,3.765431643,4.087105751,3.5,4.753861904,5.112731934,5.492440701,5.88937521,6.299696445,6.4,8.98,7.7917099,8.090240479,8.432096481,7.7,9.245298386,10.9,10.05880642,8.4,10.86567688,11.2685585,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Channel Islands,CHI,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Chile,CHL,92.257427,94.78162384,94.560057,95.27372742,95.51807404,95.76038361,95.617315,96.23616791,97.241124,96.69554901,97.938687,97.13436127,97.26668549,98.782325,97.53372955,97.6824646,99.368108,98.03926849,98.24531555,99.593662,99.52589417,99.588193,100,99.6,100,99.714844,100,99.7,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,China,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.74505615,96.98531342,97.21701813,97.44718933,97.68283081,97.93093872,98.19830322,98.4865036,98.79193878,99.11075592,99.7,99.88720703,99.94743347,99.99295044,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Colombia,COL,89.9,91.83665466,92.13265991,92.42799377,92.72196198,91.2,93.30310059,93.58891296,93.87064362,94.1475296,95.2,98.47,94.88104248,95.07718658,95.27880096,96.8,95.72622681,95.98040771,96.806763,96.057229,96.788995,96.6936,97.032176,97.779418,97.790938,98.186898,98.4,98.5,98.5,99.44425964,99.72175598,99.99910736,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Comoros,COM,NA,NA,NA,NA,NA,NA,28.9,32.76241302,35.0945282,37.42180252,39.79259109,42.02872849,44.8,46.48236847,48.71388626,50.95787811,53.22112656,55.50521088,57.80652237,60.12121964,69.65785217,69.3272171,69.3,69.43709564,71.76191711,74.08176422,76.39746094,78.70983124,81.01972198,83.32794952,85.63534546,87.94260406,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Congo, Dem. Rep.",COD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,7.111347675,7.72608614,8.339284897,8.957951546,6,10.23948574,15.2,11.59917927,12.30102539,13.0124197,13.72952175,15.4,15.16549492,13.5,16.5844593,17.28730202,17.98682594,18.68385887,19.1,20.07378006,20.76818657,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Congo, Rep.",COG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.42008209,30.327034,31.22543907,32.12230682,33.02463913,33.8,34.87350464,35.82840729,36.80053329,37.1,40.00843048,40.81733704,41.6,42.50008774,43.40102386,44.33460999,45.28372574,46.2067337,47.03748322,47.7288208,48.67913055,49.65720367,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Costa Rica,CRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.94,98.24978,98.509188,98.695902,98.954779,99.053051,99.147523,99.217998,99.263937,99.409804,98.995734,99.232348,99.503298,99.563517,99.359291,99.409804,99.5,99.6,99.7,99.71,99.9,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cote d'Ivoire,CIV,NA,NA,NA,NA,36.5,43.63125229,44.64821243,45.66176987,46.67124557,48.2,48.73202515,49.66637802,51.4,51.5164566,52.4461937,58.9,60.17105263,55.33217621,60.3,57.34462357,58.36708832,55.8,55.8,61.45337296,61.9,62.6,64.3,65.6,67.14865875,68.56665039,69.87832642,71.13684845,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Croatia,HRV,100,100,100,100,100,100,100,100,100,100,100,99.99974823,99.99468994,99.97372437,99.93330383,99.87893677,99.84591675,99.8337326,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cuba,CUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,96.21025085,95.5,96.47699738,96.61506653,96.76560974,96.93540955,97.12604523,97.33390808,97.55515289,97.78595734,98.02246094,98.26083374,98.49723816,98.72861481,98.95500946,99.17726135,99.39618683,99.61262512,99.8,99.93264008,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Curacao,CUW,100,100,100,100,100,100,100,100,100,100,99.9613266,99.9201355,99.8680954,99.80990601,99.75718689,99.71694183,99.69594574,99.69579315,99.71286774,99.74332428,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cyprus,CYP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Czechia,CZE,100,100,100,100,100,100,100,100,100,100,100,100,100,99.99708557,99.98292542,99.95427704,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Denmark,DNK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Djibouti,DJI,NA,NA,NA,NA,NA,NA,62,56.29449463,56.32225418,56.34516907,55.95718002,56.11911774,49.7,56.42436218,56.58168411,56.75147629,55.5,57.1504097,57.37752151,57.61802292,57.8680687,58.12382507,54.6,58.63710403,58.88772964,59.13337708,59.83811951,60.2,62.40833282,64.7,64.50115204,65.44125366,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Dominica,DMA,NA,NA,NA,NA,NA,NA,NA,NA,75,79.62191772,81.05433655,82.05014038,87.7,84.02310944,85.01429749,86.01795197,87.04086304,88.08461761,90.9,90.21995544,91.30387115,90.1,93.48497772,94.57449341,95.65898132,96.73849487,97.81385803,98.88589478,99.56813049,99.9192276,99.99721527,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Dominican Republic,DOM,NA,78.2,82.48540497,83.25549316,84.02422333,84.79090881,85.55487823,86.31544495,87.07193756,91,88.764932,89.791362,89.749814,89.173808,90.316567,90.141224,90.118148,96.876342,97.576197,97.85776,98.145414,97.898872,97.86705,98.385853,98.470979,98.560364,98.9,100,98.9,99,100,98.1,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ecuador,ECU,NA,NA,NA,NA,NA,89.830167,92.05137634,92.4298172,92.726642,93.071434,93.69752502,93.97002411,94.23397064,94.973044,94.76426697,95.83265,96.315259,96.812618,97.206576,96.470862,97.462142,96.872699,97.194929,98.034674,98.976067,98.825883,98.7,99.2,98.7,99.09,98.85,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Egypt, Arab Rep.",EGY,NA,NA,93.4,95.39224243,95.64853668,95.5,96.15432739,96.40246582,96.64652252,96.88573456,97.7,97.36000824,97.52048492,98.8,97.84382629,99.4,99.04,98.433815,99.8,98.91560364,99.35715485,99.43557739,99.7,99.87593842,99.8,99.3,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,El Salvador,SLV,NA,69.60788,75.33219147,76.27613831,77.21871948,76.995504,77.883,80.03151703,81.637983,79.129592,84.519249,87.063829,87.54906,86.961151,87.357045,87.525839,89.201467,91.109558,91.000227,91.08402,91.580238,92.574686,93.680571,95.043105,95.125416,95.4,96,96.8,97,97.36,99.72254181,97.89,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Equatorial Guinea,GNQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.82559204,64.86226654,64.89040375,64.91699219,64.94905853,64.99359131,65.05738068,65.14200592,65.24385834,65.35910034,66.11707306,66.1,65.74674988,65.87714386,66.00251007,66.12290192,66.23913574,66.35205841,66.46248627,66.57125092,66.67919159,66.78699493,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Eritrea,ERI,NA,NA,NA,NA,NA,22.9,24.75544739,25.8746109,26.9896946,28.09993553,29.25969696,30.31032562,32.2,32.39295197,33.43896103,34.49744797,35.57518387,36.67376328,37.78956604,38.91875839,40.05749512,41.20194244,42.34825897,43.4926033,44.63191986,45.76625824,46.89644241,48.02331161,49.14768982,50.27040863,51.39229965,52.51404953,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Estonia,EST,100,100,100,100,100,100,100,100,100,100,100,100,100,99.99708557,99.98292542,99.95427704,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Eswatini,SWZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.42861176,26.9,25.94137955,28.69195175,31.44799042,34.21650314,35.2,39.81287384,42.63870621,38.6,45.55233761,51.1811676,54.29845047,57.53400421,65,64.12441254,63.43,73.5,73.96111298,77.03039551,79.99336243,82.90317535,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ethiopia,ETH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,10.2196207,11.87615776,13.53115559,15.19162083,14,18.55675316,20.26978493,22.00004387,23.74368858,25.49688148,23,29.01655197,30.77535248,27.2,29,42.9,44.3,44.84432602,48.04761887,51.1445961,54.18841553,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Faroe Islands,FRO,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Fiji,FJI,NA,NA,NA,NA,NA,NA,66.9,71.77151489,73.08958435,74.40281677,76.78005219,77.74137878,79.63,80,80.60211182,81.57129669,82.55973816,88.9,86.16,85.63540649,92.40225983,92.50089264,92.61576843,91.75,92.95378113,93.17709351,93.41593933,96,95.0606308,96.09404755,97.12664032,92.1,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Finland,FIN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,France,FRA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,French Polynesia,PYF,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Gabon,GAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.6,77.16642761,77.83032227,78.49268341,79.16049957,81.6,80.54035187,81.26074219,81.99835968,82.74935913,89.33002472,88.72707367,89.3,86.4,87.07518768,87.3277359,88.0797348,86.27,89.57460785,90.3191452,91.06284332,91.80640411,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Gambia, The",GMB,NA,NA,NA,17.7,18.25004959,19.92144394,21.59011841,23.25539207,24.91658783,26.57294083,34.3,29.92190552,31.54257584,27.8,34.78630066,30.4562675,38.07969666,39.75686264,41.45125198,43.15903091,46.79580688,48.31798935,49.85640717,51.5,53.04151154,54.68837357,56.35076904,56.2,60.3,62.1,62.23400116,63.69736099,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Georgia,GEO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.8350296,99.80056,99.9,100,99.93,97.93505412,100,100,100,100,100,100,100,100,100,100,100,100,99.9,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Germany,DEU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ghana,GHA,NA,NA,NA,30.6,30.36940575,32.4504509,34.52877045,36.60369492,42.6,40.74053955,43.7,44.83725739,46.83095932,48.3,50.820755,41.25,55.09345008,56.91041946,60.5,61.05865097,64.2,64.06256,56.51,70.7,78.3,74.00026703,79.3,79,80.4,83.5,85.44056702,86.3,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Gibraltar,GIB,100,100,100,100,100,100,100,100,100,100,99.93924713,99.89852905,99.84696198,99.78957367,99.73765564,99.69821167,99.67802429,99.67867279,99.69654846,100,100,99.81513977,99.86352539,99.90762329,99.94763947,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Greece,GRC,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Greenland,GRL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Grenada,GRD,NA,NA,NA,NA,NA,NA,NA,NA,85.04,85.52946472,85.96340179,86.27700806,86.5820694,86.88559723,87.19458008,87.51604462,87.85675812,88.21831512,90,88.98926544,89.39098358,88.8,90.20770264,90.61502838,91.01731873,91.4146347,91.80780029,92.19764709,92.3,92.9706955,93.35556793,93.74029541,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guam,GUM,99.84430695,99.87581635,99.90686798,99.93725586,99.96508026,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guatemala,GTM,NA,NA,NA,NA,NA,60.8,67.67993927,68.90407562,70.12413025,70.9,73.318205,73.73321533,78.667838,78.512204,77.15116119,78.30607605,83.730998,80.67527008,81.88750458,83.11313629,84.34830475,84.026414,86.8319397,88.07272339,85.494371,90.53924561,91.76586914,93.3,94.20999146,95.42914581,96.64746857,97.86565399,NA
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guinea,GIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,15.15579319,16.42102432,17.67770958,18.9328537,20.19346619,20.2,22.75889397,24.07207298,25.40247917,26.74627113,28.09961128,29.45865822,26.2,32.17852402,33.53244019,34.88138199,33.5,35.4,45,42.2,44.74542236,46.81386948,NA
